index,participant_index,age,gender,trial_number,expectedness,comfortable,propensity,image_set,image_set_repeat,noisiness,oddity,quadrant,c_expect,c_comfrt,c_prpnst,c_noise,c_oddity,c_oddnse
42,2,37,"Male",10,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",2,1,"0 - Low","1 - Present",3,4,2,1,0,1,0
43,2,37,"Male",11,"2 - Somewhat Expected","1 - Absolutely Yes","1 - cautious",16,2,"1 - High","1 - Present",4,2,1,1,1,1,1
44,2,37,"Male",12,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",1,1,"0 - Low","1 - Present",3,4,2,1,0,1,0
45,2,37,"Male",13,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",7,1,"1 - High","1 - Present",4,4,2,1,1,1,1
46,2,37,"Male",14,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",1,2,"1 - High","0 - None",2,1,1,1,1,0,0
47,2,37,"Male",15,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",13,1,"1 - High","0 - None",2,1,1,1,1,0,0
48,2,37,"Male",16,"4 - Somewhat Unexpected","4 - Certainly Not","1 - cautious",11,2,"0 - Low","1 - Present",3,4,4,1,0,1,0
49,2,37,"Male",17,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",9,2,"0 - Low","1 - Present",3,4,2,1,0,1,0
50,2,37,"Male",18,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",15,2,"1 - High","1 - Present",4,4,3,1,1,1,1
51,2,37,"Male",19,"2 - Somewhat Expected","1 - Absolutely Yes","1 - cautious",5,1,"0 - Low","0 - None",1,2,1,1,0,0,0
52,2,37,"Male",20,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",4,2,"1 - High","0 - None",2,1,1,1,1,0,0
53,2,37,"Male",21,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",2,2,"1 - High","0 - None",2,1,1,1,1,0,0
54,2,37,"Male",22,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",8,1,"1 - High","0 - None",2,1,1,1,1,0,0
55,2,37,"Male",23,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",7,2,"0 - Low","0 - None",1,1,1,1,0,0,0
56,2,37,"Male",24,"5 - Very Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",3,1,"1 - High","1 - Present",4,5,2,1,1,1,1
57,2,37,"Male",25,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",3,2,"1 - High","0 - None",2,1,1,1,1,0,0
58,2,37,"Male",26,"5 - Very Unexpected","1 - Absolutely Yes","1 - cautious",12,1,"0 - Low","1 - Present",3,5,1,1,0,1,0
59,2,37,"Male",27,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",5,2,"0 - Low","1 - Present",3,4,2,1,0,1,0
60,2,37,"Male",28,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",10,2,"0 - Low","1 - Present",3,5,3,1,0,1,0
61,2,37,"Male",29,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",8,2,"1 - High","1 - Present",4,4,2,1,1,1,1
62,2,37,"Male",30,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",12,2,"0 - Low","0 - None",1,1,1,1,0,0,0
63,2,37,"Male",31,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",6,2,"1 - High","0 - None",2,1,1,1,1,0,0
64,2,37,"Male",32,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",13,2,"1 - High","0 - None",2,1,1,1,1,0,0
65,3,22,"Male",1,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",9,1,"1 - High","0 - None",2,2,2,1,1,0,0
66,3,22,"Male",2,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",5,1,"0 - Low","0 - None",1,2,2,1,0,0,0
67,3,22,"Male",3,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",6,1,"0 - Low","1 - Present",3,4,3,1,0,1,0
68,3,22,"Male",4,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",5,2,"1 - High","0 - None",2,2,2,1,1,0,0
69,3,22,"Male",5,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",14,1,"1 - High","1 - Present",4,4,2,1,1,1,1
70,3,22,"Male",6,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",16,1,"0 - Low","0 - None",1,4,3,1,0,0,0
71,3,22,"Male",7,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",10,1,"0 - Low","1 - Present",3,5,4,1,0,1,0
72,3,22,"Male",8,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",1,1,"0 - Low","0 - None",1,2,2,1,0,0,0
73,3,22,"Male",9,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",12,1,"0 - Low","1 - Present",3,5,4,1,0,1,0
74,3,22,"Male",10,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",14,2,"1 - High","0 - None",2,1,2,1,1,0,0
75,3,22,"Male",11,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",15,1,"0 - Low","1 - Present",3,5,4,1,0,1,0
76,3,22,"Male",12,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",13,1,"0 - Low","0 - None",1,4,2,1,0,0,0
77,3,22,"Male",13,"2 - Somewhat Expected","3 - Yes, but would not be feel nice","1 - cautious",11,1,"1 - High","0 - None",2,2,3,1,1,0,0
78,3,22,"Male",14,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",4,1,"1 - High","0 - None",2,1,1,1,1,0,0
79,3,22,"Male",15,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",16,2,"1 - High","0 - None",2,4,3,1,1,0,0
80,3,22,"Male",16,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",6,2,"1 - High","1 - Present",4,5,4,1,1,1,1
81,3,22,"Male",17,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",10,2,"1 - High","1 - Present",4,5,4,1,1,1,1
82,3,22,"Male",18,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",13,2,"1 - High","1 - Present",4,5,3,1,1,1,1
83,3,22,"Male",19,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",4,2,"1 - High","1 - Present",4,1,1,1,1,1,1
84,3,22,"Male",20,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",15,2,"0 - Low","1 - Present",3,5,4,1,0,1,0
85,3,22,"Male",21,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",1,2,"0 - Low","0 - None",1,2,2,1,0,0,0
86,3,22,"Male",22,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",9,2,"1 - High","1 - Present",4,4,2,1,1,1,1
87,3,22,"Male",23,"4 - Somewhat Unexpected","4 - Certainly Not","1 - cautious",2,1,"0 - Low","1 - Present",3,4,4,1,0,1,0
88,3,22,"Male",24,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",12,2,"1 - High","1 - Present",4,5,4,1,1,1,1
89,3,22,"Male",25,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",3,1,"0 - Low","0 - None",1,2,2,1,0,0,0
90,3,22,"Male",26,"2 - Somewhat Expected","3 - Yes, but would not be feel nice","1 - cautious",7,1,"1 - High","0 - None",2,2,3,1,1,0,0
91,3,22,"Male",27,"2 - Somewhat Expected","3 - Yes, but would not be feel nice","1 - cautious",7,2,"0 - Low","0 - None",1,2,3,1,0,0,0
92,3,22,"Male",28,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",2,2,"1 - High","0 - None",2,2,2,1,1,0,0
93,3,22,"Male",29,"4 - Somewhat Unexpected","4 - Certainly Not","1 - cautious",11,2,"0 - Low","1 - Present",3,4,4,1,0,1,0
94,3,22,"Male",30,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",3,2,"0 - Low","0 - None",1,2,2,1,0,0,0
95,3,22,"Male",31,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",8,1,"0 - Low","1 - Present",3,4,3,1,0,1,0
96,3,22,"Male",32,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",8,2,"1 - High","1 - Present",4,4,3,1,1,1,1
97,4,34,"Male",1,"1 - Completely Expected","4 - Certainly Not","0 - adventurous",7,1,"0 - Low","0 - None",1,1,4,0,0,0,0
98,4,34,"Male",2,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",13,1,"0 - Low","0 - None",1,1,2,0,0,0,0
99,4,34,"Male",3,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",5,1,"1 - High","0 - None",2,1,1,0,1,0,0
100,4,34,"Male",4,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",6,1,"0 - Low","1 - Present",3,1,1,0,0,1,0
101,4,34,"Male",5,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",16,1,"0 - Low","0 - None",1,1,2,0,0,0,0
102,4,34,"Male",6,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",12,1,"0 - Low","0 - None",1,1,1,0,0,0,0
103,4,34,"Male",7,"1 - Completely Expected","4 - Certainly Not","0 - adventurous",7,2,"0 - Low","0 - None",1,1,4,0,0,0,0
104,4,34,"Male",8,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",13,2,"1 - High","1 - Present",4,5,4,0,1,1,1
105,4,34,"Male",9,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",1,1,"0 - Low","1 - Present",3,4,2,0,0,1,0
106,4,34,"Male",10,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",3,1,"1 - High","0 - None",2,1,1,0,1,0,0
107,4,34,"Male",11,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",11,1,"1 - High","1 - Present",4,5,4,0,1,1,1
108,4,34,"Male",12,"1 - Completely Expected","3 - Yes, but would not be feel nice","0 - adventurous",15,1,"0 - Low","0 - None",1,1,3,0,0,0,0
109,4,34,"Male",13,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",12,2,"1 - High","0 - None",2,1,1,0,1,0,0
110,4,34,"Male",14,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",8,1,"1 - High","1 - Present",4,4,1,0,1,1,1
111,4,34,"Male",15,"5 - Very Unexpected","3 - Yes, but would not be feel nice","0 - adventurous",4,1,"1 - High","1 - Present",4,5,3,0,1,1,1
112,4,34,"Male",16,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",3,2,"1 - High","0 - None",2,1,1,0,1,0,0
113,4,34,"Male",17,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",10,1,"0 - Low","1 - Present",3,5,1,0,0,1,0
114,4,34,"Male",18,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",6,2,"0 - Low","1 - Present",3,4,1,0,0,1,0
115,4,34,"Male",19,"5 - Very Unexpected","3 - Yes, but would not be feel nice","0 - adventurous",11,2,"0 - Low","1 - Present",3,5,3,0,0,1,0
116,4,34,"Male",20,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",2,1,"1 - High","0 - None",2,1,1,0,1,0,0
117,4,34,"Male",21,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",1,2,"0 - Low","0 - None",1,1,1,0,0,0,0
118,4,34,"Male",22,"5 - Very Unexpected","3 - Yes, but would not be feel nice","0 - adventurous",14,1,"1 - High","1 - Present",4,5,3,0,1,1,1
119,4,34,"Male",23,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",4,2,"1 - High","0 - None",2,1,1,0,1,0,0
120,4,34,"Male",24,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",9,1,"1 - High","1 - Present",4,5,1,0,1,1,1
121,4,34,"Male",25,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",2,2,"1 - High","0 - None",2,1,1,0,1,0,0
122,4,34,"Male",26,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",10,2,"0 - Low","1 - Present",3,5,1,0,0,1,0
123,4,34,"Male",27,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",14,2,"1 - High","0 - None",2,1,1,0,1,0,0
124,4,34,"Male",28,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",9,2,"1 - High","1 - Present",4,5,1,0,1,1,1
125,4,34,"Male",29,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",15,2,"1 - High","1 - Present",4,5,1,0,1,1,1
126,4,34,"Male",30,"2 - Somewhat Expected","1 - Absolutely Yes","0 - adventurous",8,2,"0 - Low","1 - Present",3,2,1,0,0,1,0
127,4,34,"Male",31,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",16,2,"0 - Low","0 - None",1,1,1,0,0,0,0
128,4,34,"Male",32,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",5,2,"0 - Low","1 - Present",3,5,1,0,0,1,0
129,5,32,"Female",1,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",3,1,"1 - High","1 - Present",4,5,3,1,1,1,1
130,5,32,"Female",2,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",6,1,"0 - Low","0 - None",1,1,1,1,0,0,0
131,5,32,"Female",3,"5 - Very Unexpected","1 - Absolutely Yes","1 - cautious",13,1,"0 - Low","1 - Present",3,5,1,1,0,1,0
132,5,32,"Female",4,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",1,1,"1 - High","0 - None",2,1,2,1,1,0,0
133,5,32,"Female",5,"1 - Completely Expected","4 - Certainly Not","1 - cautious",15,1,"0 - Low","0 - None",1,1,4,1,0,0,0
134,5,32,"Female",6,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",15,2,"0 - Low","1 - Present",3,5,4,1,0,1,0
135,5,32,"Female",7,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",10,1,"1 - High","0 - None",2,1,2,1,1,0,0
136,5,32,"Female",8,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",13,2,"1 - High","0 - None",2,1,1,1,1,0,0
137,5,32,"Female",9,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",7,1,"1 - High","1 - Present",4,4,2,1,1,1,1
138,5,32,"Female",10,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",4,1,"1 - High","1 - Present",4,4,2,1,1,1,1
139,5,32,"Female",11,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",1,2,"1 - High","1 - Present",4,5,4,1,1,1,1
140,5,32,"Female",12,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",8,1,"1 - High","0 - None",2,1,1,1,1,0,0
141,5,32,"Female",13,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",14,1,"1 - High","1 - Present",4,5,3,1,1,1,1
142,5,32,"Female",14,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",5,1,"0 - Low","0 - None",1,1,1,1,0,0,0
143,5,32,"Female",15,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",11,1,"0 - Low","1 - Present",3,5,4,1,0,1,0
144,5,32,"Female",16,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",12,1,"1 - High","1 - Present",4,5,4,1,1,1,1
145,5,32,"Female",17,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",3,2,"0 - Low","0 - None",1,1,1,1,0,0,0
146,5,32,"Female",18,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",16,1,"1 - High","0 - None",2,1,2,1,1,0,0
147,5,32,"Female",19,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",4,2,"0 - Low","0 - None",1,1,1,1,0,0,0
148,5,32,"Female",20,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",12,2,"0 - Low","0 - None",1,1,1,1,0,0,0
149,5,32,"Female",21,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",16,2,"0 - Low","0 - None",1,1,2,1,0,0,0
150,5,32,"Female",22,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",2,1,"0 - Low","0 - None",1,1,2,1,0,0,0
151,5,32,"Female",23,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",9,1,"1 - High","1 - Present",4,4,3,1,1,1,1
152,5,32,"Female",24,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",14,2,"0 - Low","1 - Present",3,4,3,1,0,1,0
153,5,32,"Female",25,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",2,2,"0 - Low","1 - Present",3,4,3,1,0,1,0
154,5,32,"Female",26,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",6,2,"0 - Low","1 - Present",3,5,4,1,0,1,0
155,5,32,"Female",27,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",8,2,"0 - Low","1 - Present",3,5,3,1,0,1,0
156,5,32,"Female",28,"5 - Very Unexpected","3 - Yes, but would not be feel nice","1 - cautious",5,2,"1 - High","1 - Present",4,5,3,1,1,1,1
157,5,32,"Female",29,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",11,2,"1 - High","0 - None",2,1,2,1,1,0,0
158,5,32,"Female",30,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",10,2,"1 - High","0 - None",2,1,2,1,1,0,0
159,5,32,"Female",31,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",9,2,"1 - High","0 - None",2,1,2,1,1,0,0
160,5,32,"Female",32,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",7,2,"0 - Low","1 - Present",3,4,2,1,0,1,0
161,6,42,"Female",1,"2 - Somewhat Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",8,1,"0 - Low","1 - Present",3,2,2,1,0,1,0
162,6,42,"Female",2,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",9,1,"0 - Low","0 - None",1,1,1,1,0,0,0
163,6,42,"Female",3,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",13,1,"1 - High","0 - None",2,1,1,1,1,0,0
164,6,42,"Female",4,"4 - Somewhat Unexpected","4 - Certainly Not","1 - cautious",6,1,"1 - High","1 - Present",4,4,4,1,1,1,1
165,6,42,"Female",5,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",9,2,"1 - High","0 - None",2,1,1,1,1,0,0
166,6,42,"Female",6,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",4,1,"0 - Low","0 - None",1,1,1,1,0,0,0
167,6,42,"Female",7,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",14,1,"0 - Low","0 - None",1,1,2,1,0,0,0
168,6,42,"Female",8,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",5,1,"0 - Low","1 - Present",3,5,4,1,0,1,0
169,6,42,"Female",9,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",16,1,"1 - High","0 - None",2,1,1,1,1,0,0
170,6,42,"Female",10,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",7,1,"0 - Low","1 - Present",3,4,2,1,0,1,0
171,6,42,"Female",11,"2 - Somewhat Expected","1 - Absolutely Yes","1 - cautious",10,1,"1 - High","1 - Present",4,2,1,1,1,1,1
172,6,42,"Female",12,"2 - Somewhat Expected","4 - Certainly Not","1 - cautious",11,1,"1 - High","0 - None",2,2,4,1,1,0,0
173,6,42,"Female",13,"2 - Somewhat Expected","1 - Absolutely Yes","1 - cautious",10,2,"1 - High","1 - Present",4,2,1,1,1,1,1
174,6,42,"Female",14,"4 - Somewhat Unexpected","4 - Certainly Not","1 - cautious",3,1,"0 - Low","1 - Present",3,4,4,1,0,1,0
175,6,42,"Female",15,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",14,2,"0 - Low","1 - Present",3,5,4,1,0,1,0
176,6,42,"Female",16,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",2,1,"1 - High","0 - None",2,1,2,1,1,0,0
177,6,42,"Female",17,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",7,2,"1 - High","1 - Present",4,5,4,1,1,1,1
178,6,42,"Female",18,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",4,2,"1 - High","0 - None",2,1,2,1,1,0,0
179,6,42,"Female",19,"1 - Completely Expected","3 - Yes, but would not be feel nice","1 - cautious",15,1,"1 - High","0 - None",2,1,3,1,1,0,0
180,6,42,"Female",20,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",13,2,"1 - High","0 - None",2,1,1,1,1,0,0
181,6,42,"Female",21,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",5,2,"0 - Low","1 - Present",3,5,4,1,0,1,0
